FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
4,4,4,4,1.374,4,1.493,4,2.870137,4,2.87013699,4,1.493454,2.870136988,4,0.000000,4,3.84362411,4,0.000000,4,3.84362411,3.843624
5,5,5,5,2.719,5,3.294,5,4.266093,5,4.26609329,5,3.293911,4.266093288,5,1.330161,5,5.18058079,5,0.000000,5,5.18058079,2.935933
6,6,6,6,3.290,6,3.373,6,5.413807,6,5.41380731,6,3.372666,5.413807307,6,1.765214,6,6.42080399,6,0.000000,6,6.42080399,3.648593
7,7,7,7,2.511,7,2.688,7,3.393036,7,3.39303648,7,2.688216,3.393036479,7,0.439593,7,6.34647994,7,0.000000,7,7.57313262,2.953443
8,8,8,8,2.443,8,2.604,8,2.814638,8,2.81463781,8,2.603689,2.814637805,8,0.222940,8,5.40633584,8,0.000000,8,8.51386899,2.591698
9,9,9,9,4.376,9,4.822,9,5.820367,9,5.82036707,9,4.822380,5.820367067,9,2.926697,9,8.71403758,9,0.000000,9,9.65559169,2.893671
10,10,10,10,3.320,10,3.636,10,3.855372,10,3.85537204,10,3.635841,3.855372038,10,1.258115,10,6.45262919,10,0.000000,10,9.89295630,2.597257
11,11,11,11,2.551,11,2.693,11,3.097468,11,3.09746822,11,2.693497,3.097468223,11,0.280746,11,5.91419030,11,0.000000,11,9.64522065,2.816722
12,12,12,12,5.132,12,5.408,12,5.565937,12,5.56593708,12,5.408407,5.565937077,12,2.995991,12,8.13588270,12,0.000000,12,11.62640991,2.569946
13,13,13,13,2.627,13,2.818,13,3.090238,13,3.09023772,13,2.818289,3.090237720,13,0.352062,13,5.82841377,13,0.000000,13,9.54743332,2.738176
14,14,14,14,3.185,14,3.408,14,3.390541,14,3.39054128,14,3.407763,3.390541276,14,0.861357,14,5.91972596,14,0.000000,14,9.43414748,2.529185
15,29,(5#)/2,16,2.748,21,7.190,16,2.765142,15,7.37996871,21,4.575773,4.111117136,16,0.281706,15,10.04312293,29,0.000000,15,13.74370145,2.483436
30,44,(5#),31,3.475,42,9.870,32,2.734624,30,7.34072410,36,5.784069,4.147299354,32,0.577067,30,9.53183205,44,0.000000,30,13.02700528,2.157557
45,59,(5#)3/2,47,4.188,45,11.063,59,2.764597,45,7.28666194,52,6.665335,4.063345559,47,0.792149,45,9.30194448,59,0.000000,45,12.81225244,1.990887
60,74,(5#)2,61,4.767,60,12.965,64,2.715385,60,7.24494775,67,7.689399,4.100988152,61,0.917200,60,9.08102287,74,0.000000,60,12.55277616,1.850930
75,89,(5#)5/2,79,5.464,75,14.354,89,2.743169,75,7.23135463,82,8.567206,4.098184256,79,1.021461,75,8.98015678,89,0.000000,75,12.49704817,1.724468
90,104,(5#)3,97,6.120,90,16.072,103,2.732657,90,7.23185422,97,9.359775,4.068574446,97,1.104617,90,8.88486849,104,0.000000,90,12.42297826,1.633982
105,119,(7#)/2,107,6.471,105,20.808,113,2.731305,105,8.66686583,112,10.366210,4.152494717,107,1.136950,105,10.26841259,119,0.000000,105,13.86939722,1.594035
120,134,(5#)4,122,7.098,120,18.872,128,2.702466,120,7.20928755,127,10.990067,4.081898088,128,1.183249,120,8.75105031,134,0.000000,120,12.40107220,1.519217
135,149,(5#)9/2,137,7.473,135,20.060,149,2.720304,135,7.20410054,142,11.674214,4.060930991,137,1.220017,135,8.71244729,149,0.000000,135,12.43570998,1.503360
150,164,(5#)5,151,7.920,150,21.524,163,2.715599,150,7.20511157,157,12.345489,4.039212573,151,1.246324,150,8.67291634,164,0.000000,150,12.46134763,1.471700
165,179,(5#)11/2,167,8.418,165,25.165,179,2.712819,165,8.00082618,172,13.293065,4.116963984,167,1.273452,165,9.44572335,179,0.000000,165,13.31438837,1.441408
180,194,(5#)6,181,8.843,180,24.008,193,2.712054,180,7.19355883,187,13.801267,4.055034199,181,1.294901,180,8.60957908,194,0.000000,180,12.55425766,1.419043
195,209,(5#)13/2,197,9.319,195,27.366,199,2.709905,195,7.84428932,202,14.651558,4.104891966,197,1.314150,195,9.24412648,209,0.000000,195,13.27434956,1.397320
210,224,(7#),211,9.727,210,31.692,223,2.707019,210,8.62979456,217,15.317239,4.099784471,211,1.327292,210,10.00844254,224,0.000000,210,14.12279077,1.381099
225,239,(5#)15/2,227,10.184,231,27.896,239,2.705377,225,7.18883418,232,15.947818,4.092730736,227,1.341370,225,8.55589912,239,0.000000,225,12.76019926,1.365220
240,254,(5#)8,241,10.578,240,28.700,251,2.704265,240,7.18404410,247,16.454531,4.054908912,241,1.352889,240,8.53529809,254,0.000000,240,12.57933612,1.353305
255,269,(5#)17/2,256,10.992,255,31.686,256,2.693275,255,7.66085308,262,17.063923,4.051945883,256,1.353540,255,9.00383111,269,0.000000,255,12.91701560,1.339736
270,284,(5#)9,271,11.401,270,30.938,283,2.701699,270,7.18281338,277,17.781422,4.072185605,271,1.369739,270,8.51391613,284,0.000000,270,12.27825202,1.332861
285,299,(5#)19/2,293,11.990,285,33.792,293,2.701790,285,7.60337193,292,18.576560,4.112268372,293,1.380331,285,8.92866973,299,0.000000,285,12.58176230,1.321459
300,314,(5#)10,302,12.310,300,33.093,313,2.700437,300,7.17743292,307,18.771502,4.020100799,307,1.384572,300,8.49383880,314,0.000000,300,12.01964383,1.315505
315,329,(7#)3/2,317,12.620,315,40.854,317,2.700184,315,8.61115415,322,19.761609,4.104510014,317,1.388386,315,9.92365941,329,0.000000,315,13.35325959,1.311798
330,344,(5#)11,331,12.982,330,39.124,337,2.698997,330,7.97401946,337,20.319603,4.093320742,331,1.391353,330,9.27995965,344,0.000000,330,12.59897232,1.307303
345,359,(5#)23/2,347,13.391,345,37.863,359,2.697202,345,7.51690411,352,20.831538,4.078914881,347,1.394737,345,8.82044914,359,0.000000,345,12.05507599,1.303064
360,374,(5#)12,362,13.846,360,37.264,373,2.697135,360,7.17246315,367,21.286769,4.053181221,367,1.397858,360,8.47130125,374,0.000000,360,11.60857288,1.298962
