START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
6,6,2.140268,6,1.266107,5.249842e-01,2.503355,3.491958e-01,EXPECTED
(5#)75/2,1126,2.104611,1129,0.008774,5.480093e+00,0.794594,2.637620e+00,EXPECTED
(5#)38,1147,2.252003,1153,0.024598,4.516910e+00,0.789427,2.821547e+00,EXPECTED
(11#)/2,1244,2.122683,1259,0.039217,3.991326e+00,0.782694,2.661916e+00,EXPECTED
(7#)6,1319,1.723241,1361,0.123811,2.633206e+00,0.750602,2.130863e+00,EXPECTED
(7#)13/2,1402,1.647631,1459,0.194873,2.134746e+00,0.721695,2.012981e+00,EXPECTED
(7#)7,1489,1.865276,1571,0.259557,1.972188e+00,0.696055,2.306885e+00,EXPECTED
(7#)15/2,1676,2.104753,1669,0.318672,1.887791e+00,0.672425,2.656179e+00,EXPECTED
(7#)8,1774,2.019039,1783,0.373770,1.686736e+00,0.650231,2.530284e+00,EXPECTED
(7#)17/2,1849,2.204669,1889,0.414192,1.672003e+00,0.633724,2.825326e+00,EXPECTED
(7#)9,1966,1.989272,1993,0.457972,1.468716e+00,0.615556,2.487670e+00,EXPECTED
(7#)19/2,2029,1.715762,2048,0.491941,1.249254e+00,0.601620,2.034209e+00,EXPECTED
(7#)10,2104,2.003507,2203,0.527104,1.335257e+00,0.586470,2.517440e+00,EXPECTED
(7#)21/2,2287,1.989104,2309,0.555425,1.275706e+00,0.574746,2.494457e+00,EXPECTED
(11#),2347,2.156625,2411,0.582729,1.308578e+00,0.562985,2.795627e+00,EXPECTED
(7#)23/2,2447,2.190317,2503,0.608211,1.281280e+00,0.551891,2.866700e+00,EXPECTED
(7#)12,2623,2.363446,2621,0.631039,1.320508e+00,0.541786,3.197585e+00,EXPECTED
(7#)25/2,2633,2.168203,2729,0.653540,1.199250e+00,0.531675,2.848851e+00,EXPECTED
(7#)13,2809,2.065835,2833,0.671579,1.123658e+00,0.523417,2.663758e+00,EXPECTED
(7#)27/2,2909,2.274897,2939,0.689698,1.193436e+00,0.515043,3.077799e+00,EXPECTED
(7#)14,2974,2.064698,3041,0.707420,1.071115e+00,0.506480,2.679825e+00,EXPECTED
(7#)29/2,3076,1.845344,3137,0.721682,9.388364e-01,0.499824,2.248115e+00,EXPECTED
(7#)15,3221,2.107297,3253,0.736823,1.050814e+00,0.492382,2.783355e+00,EXPECTED
(7#)31/2,3334,2.210551,3359,0.748459,1.082981e+00,0.486591,3.004766e+00,EXPECTED
(7#)16,3386,2.340982,3463,0.760373,1.124517e+00,0.480518,3.289386e+00,EXPECTED
(11#)3/2,3559,2.029695,3559,0.771567,9.672173e-01,0.474661,2.650582e+00,EXPECTED
(7#)17,3571,2.249487,3673,0.781774,1.056892e+00,0.469216,3.128011e+00,EXPECTED
(7#)35/2,3769,1.943543,3779,0.791446,8.984062e-01,0.463950,2.483235e+00,EXPECTED
(7#)18,3799,2.075010,3881,0.801157,9.516643e-01,0.458491,2.778360e+00,EXPECTED
(7#)37/2,3964,2.216472,3989,0.808587,1.008384e+00,0.454195,3.099737e+00,EXPECTED
(7#)19,4051,2.044491,4093,0.816610,9.177425e-01,0.449420,2.732146e+00,EXPECTED
