START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5e0,5,2.590290,5,0.602869,1.457825e+00,3.663224,5.425333e-01,EXPECTED
6e0,6,3.210402,6,0.873613,1.301514e+00,4.540194,5.146892e-01,EXPECTED
9e0,9,4.827796,9,1.662128,1.066291e+00,4.158239,7.613002e-01,EXPECTED
3e2,379,1.492247,397,0.246917,1.798986e+00,2.256641,5.518512e-01,EXPECTED
4e2,433,1.364958,499,0.440726,1.130456e+00,2.119604,4.360399e-01,EXPECTED
5e2,569,1.983900,512,0.576828,1.235276e+00,2.024086,6.951641e-01,EXPECTED
6e2,661,1.788981,691,0.667396,9.860179e-01,1.954865,5.737404e-01,EXPECTED
7e2,706,1.706515,797,0.733415,8.444969e-01,1.905653,5.106386e-01,EXPECTED
8e2,802,1.784236,887,0.784948,8.211281e-01,1.868503,5.348067e-01,EXPECTED
9e2,967,1.761041,997,0.818947,7.656410e-01,1.840445,5.118838e-01,EXPECTED
1e3,1402,1.647631,1999,0.845414,6.672673e-01,1.806534,4.440642e-01,EXPECTED
2e3,2029,1.715762,2999,0.823250,7.343527e-01,1.632068,5.468596e-01,EXPECTED
3e3,3076,1.845344,3989,1.044527,5.691016e-01,1.636457,4.893602e-01,EXPECTED
4e3,4801,1.856187,4999,1.311457,3.473857e-01,1.514955,3.595684e-01,EXPECTED
5e3,5416,1.965120,5987,1.485358,2.798975e-01,1.420092,3.378387e-01,EXPECTED
6e3,6353,2.124621,6997,1.608925,2.780272e-01,1.367064,3.772289e-01,EXPECTED
7e3,7219,2.055910,7993,1.700901,1.895605e-01,1.293243,2.745107e-01,EXPECTED
8e3,8777,2.179478,8999,1.773843,2.059370e-01,1.196989,3.388795e-01,EXPECTED
9e3,9649,2.163663,9973,1.831799,1.665041e-01,1.118177,2.967902e-01,EXPECTED
1e4,11272,2.131467,19997,1.880318,1.253696e-01,1.053533,2.383874e-01,EXPECTED
2e4,20816,2.279925,29989,2.119883,7.278165e-02,0.547924,2.920880e-01,EXPECTED
3e4,35792,2.297694,39989,2.211353,3.830147e-02,0.455233,1.896633e-01,EXPECTED
4e4,40597,2.307754,49999,2.259901,2.095375e-02,0.405892,1.178959e-01,EXPECTED
5e4,51826,2.346624,59999,2.289658,2.457524e-02,0.375550,1.516869e-01,EXPECTED
6e4,67904,2.413565,69997,2.309287,4.416609e-02,0.341549,3.053090e-01,EXPECTED
7e4,71633,2.358847,79999,2.322836,1.538409e-02,0.331653,1.085804e-01,EXPECTED
8e4,89459,2.383150,89989,2.332433,2.151121e-02,0.324583,1.562528e-01,EXPECTED
9e4,92357,2.434532,99991,2.339224,3.993529e-02,0.319555,2.982523e-01,EXPECTED
1e5,116728,2.402456,199999,2.342625,2.521945e-02,0.312014,1.917574e-01,EXPECTED
2e5,204928,2.464243,299993,2.309117,6.501946e-02,0.319508,4.855152e-01,EXPECTED
3e5,366794,2.499164,399989,2.312196,7.775855e-02,0.349181,5.354472e-01,EXPECTED
4e5,463549,2.513127,499979,2.378355,5.511872e-02,0.282517,4.770403e-01,EXPECTED
5e5,548461,2.531963,599999,2.420179,4.515339e-02,0.240319,4.651484e-01,EXPECTED
6e5,686398,2.527108,699967,2.449233,3.130065e-02,0.210969,3.691301e-01,EXPECTED
7e5,770558,2.532269,799999,2.470700,2.461423e-02,0.189259,3.253161e-01,EXPECTED
8e5,804191,2.552045,899981,2.487276,2.570686e-02,0.172478,3.755204e-01,EXPECTED
9e5,915961,2.547074,999983,2.500494,1.845694e-02,0.159082,2.928050e-01,EXPECTED
1e6,1201553,2.553525,1999993,2.511306,1.667182e-02,0.148113,2.850459e-01,EXPECTED
2e6,2053553,2.579809,2999999,2.563543,6.325079e-03,0.094909,1.713852e-01,EXPECTED
3e6,3004042,2.591117,3999971,2.582907,3.173548e-03,0.075025,1.094302e-01,EXPECTED
4e6,4792159,2.588525,4999999,2.593155,-1.787066e-03,0.064425,-7.186651e-02,OUTLIER
5e6,5167067,2.597599,5999993,2.599511,-7.357936e-04,0.057806,-3.307615e-02,OUTLIER
6e6,6175451,2.603294,6999997,2.603823,-2.031835e-04,0.053285,-9.927747e-03,OUTLIER
7e6,7376626,2.610535,7999993,2.606921,1.385350e-03,0.050015,7.225832e-02,EXPECTED
8e6,8143934,2.607556,8999993,2.609234,-6.433075e-04,0.047556,-3.528472e-02,OUTLIER
9e6,9121549,2.613892,9999991,2.611008,1.103945e-03,0.045654,6.317081e-02,EXPECTED
1e7,10030684,2.609830,19999999,2.612396,-9.827228e-04,0.038617,-6.644742e-02,OUTLIER
2e7,24496594,2.621733,29999999,2.616596,1.961313e-03,0.038411,1.337377e-01,EXPECTED
3e7,30099763,2.626030,39999983,2.614234,4.502071e-03,0.038873,3.034497e-01,EXPECTED
4e7,41344276,2.629465,49999991,2.610942,7.069328e-03,0.040976,4.520451e-01,EXPECTED
5e7,53699671,2.633020,59999999,2.610906,8.434189e-03,0.044073,5.017584e-01,EXPECTED
6e7,66759878,2.632266,69999989,2.616675,5.940644e-03,0.038186,4.082910e-01,EXPECTED
7e7,78822322,2.634340,79999987,2.620939,5.100026e-03,0.033792,3.965732e-01,EXPECTED
8e7,82476448,2.635786,89999999,2.624199,4.405723e-03,0.030422,3.808757e-01,EXPECTED
9e7,96281998,2.635636,99999989,2.626777,3.366900e-03,0.027749,3.192547e-01,EXPECTED
