START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
3e4,35792,2.297694,39989,0.045197,3.928631e+00,0.134790,1.671116e+01
4e4,40597,2.307754,49999,0.423189,1.696211e+00,0.126451,1.490352e+01
5e4,51826,2.346624,59999,0.531575,1.484889e+00,0.124227,1.461074e+01
6e4,67904,2.413565,69997,0.728828,1.197422e+00,0.049878,3.377716e+01
7e4,71633,2.358847,79999,0.711120,1.199087e+00,0.046001,3.581937e+01
8e4,89459,2.383150,89989,0.682583,1.250294e+00,0.042860,3.967725e+01
9e4,92357,2.434532,99991,0.645624,1.327293e+00,0.040246,4.444934e+01
1e5,116728,2.402456,199999,0.387895,1.823512e+00,0.031965,6.302396e+01
2e5,204928,2.464243,299993,0.827059,1.091764e+00,0.026962,6.072190e+01
3e5,366794,2.499164,399989,1.279184,6.697339e-01,0.021587,5.651457e+01
4e5,463549,2.513127,499979,1.523281,5.006612e-01,0.018553,5.335234e+01
5e5,548461,2.531963,599999,1.626783,4.423904e-01,0.012991,6.967747e+01
6e5,686398,2.527108,699967,1.786045,3.470719e-01,0.015137,4.895706e+01
7e5,770558,2.532269,799999,1.865938,3.053519e-01,0.014057,4.740208e+01
8e5,804191,2.552045,899981,1.927730,2.805519e-01,0.013205,4.727868e+01
9e5,915961,2.547074,999983,1.977065,2.533318e-01,0.012512,4.555699e+01
1e6,1201553,2.553525,1999993,2.017459,2.356360e-01,0.011936,4.491170e+01
2e6,2053553,2.579809,2999999,2.212471,1.536054e-01,0.007979,4.603810e+01
3e6,3004042,2.591117,3999971,2.283571,1.263486e-01,0.005763,5.336561e+01
4e6,4792159,2.588525,4999999,2.319871,1.095766e-01,0.004578,5.868370e+01
5e6,5167067,2.597599,5999993,2.341155,1.039432e-01,0.003831,6.693918e+01
6e6,6175451,2.603294,6999997,2.354478,1.004585e-01,0.003314,7.508027e+01
7e6,7376626,2.610535,7999993,2.363016,9.961641e-02,0.002932,8.441985e+01
8e6,8143934,2.607556,8999993,2.368423,9.618905e-02,0.002638,9.064936e+01
9e6,9121549,2.613892,9999991,2.371649,9.725480e-02,0.002403,1.008086e+02
