START,n_geom,C_avg,Cpred_avg,Lambda_avg
4e0,4,3.843624,2.870137,2.920559e-01
5e0,5,2.590290,4.266093,-4.989285e-01
6e0,6,3.210402,5.413807,-5.225564e-01
8e0,8,2.162039,2.814638,-2.637820e-01
9e0,9,4.827796,5.820367,-1.869733e-01
1e1,14,2.225233,4.107286,-6.129011e-01
2e1,24,2.767780,3.997528,-3.676307e-01
3e1,34,3.110719,4.352084,-3.358008e-01
4e1,44,2.746579,4.041666,-3.863008e-01
5e1,54,3.444943,3.933508,-1.326244e-01
6e1,64,3.262668,4.337920,-2.848498e-01
7e1,74,3.922845,4.050292,-3.197193e-02
8e1,84,3.287355,3.906248,-1.724942e-01
9e1,94,3.436758,4.325614,-2.300255e-01
1e2,141,3.583408,4.077557,-1.291838e-01
2e2,245,3.602339,4.062702,-1.202647e-01
3e2,346,3.754889,4.097372,-8.728701e-02
4e2,447,3.819910,4.057437,-6.032446e-02
5e2,547,3.788293,4.051342,-6.713282e-02
6e2,648,3.849522,4.082262,-5.870243e-02
7e2,748,3.944286,4.065214,-3.019824e-02
8e2,848,3.919971,4.040903,-3.038395e-02
9e2,948,3.790608,4.079203,-7.337503e-02
1e3,1414,3.930334,4.057116,-3.174792e-02
2e3,2449,3.938192,4.050820,-2.819779e-02
3e3,3464,3.947789,4.053740,-2.648416e-02
4e3,4472,3.975565,4.048584,-1.820026e-02
5e3,5477,3.956638,4.045494,-2.220904e-02
6e3,6480,4.021600,4.048898,-6.764891e-03
7e3,7483,3.972489,4.045505,-1.821355e-02
8e3,8485,3.976809,4.043489,-1.662834e-02
9e3,9486,3.991146,4.047204,-1.394781e-02
1e4,14142,4.004160,4.042292,-9.477995e-03
2e4,24494,4.010742,4.039739,-7.203905e-03
3e4,34641,4.011841,4.038745,-6.683883e-03
4e4,44721,4.011235,4.037460,-6.516518e-03
5e4,54772,4.015062,4.036622,-5.355545e-03
6e4,64807,4.024570,4.036294,-2.908963e-03
7e4,74833,4.012790,4.035594,-5.666676e-03
8e4,84852,4.016448,4.035112,-4.636087e-03
9e4,94868,4.025406,4.034994,-2.379164e-03
1e5,141421,4.020835,4.033439,-3.129880e-03
2e5,244949,4.022875,4.031896,-2.239695e-03
3e5,346410,4.023491,4.031004,-1.865478e-03
4e5,447213,4.022716,4.030323,-1.889232e-03
5e5,547722,4.024812,4.029812,-1.241635e-03
6e5,648074,4.023686,4.029446,-1.430561e-03
7e5,748331,4.022217,4.029087,-1.706499e-03
8e5,848528,4.025351,4.028785,-8.525432e-04
9e5,948683,4.024420,4.028573,-1.031534e-03
1e6,1414213,4.023671,4.027603,-9.766840e-04
2e6,2449489,4.023685,4.026542,-7.098699e-04
3e6,3464101,4.023936,4.025903,-4.887179e-04
4e6,4472136,4.023153,4.025440,-5.683863e-04
5e6,5477225,4.023416,4.025086,-4.148757e-04
6e6,6480740,4.022315,4.024802,-6.181814e-04
7e6,7483314,4.023270,4.024560,-3.205073e-04
8e6,8485281,4.023595,4.024351,-1.880445e-04
9e6,9486833,4.022609,4.024175,-3.892216e-04
1e7,14142135,4.022242,4.023491,-3.105420e-04
2e7,24494897,4.021850,4.022719,-2.162848e-04
3e7,34641016,4.021567,4.022246,-1.687135e-04
4e7,44721359,4.021290,4.021906,-1.530901e-04
5e7,54772255,4.021122,4.021643,-1.295808e-04
6e7,64807407,4.020612,4.021429,-2.031770e-04
7e7,74833147,4.021107,4.021249,-3.539311e-05
8e7,84852813,4.020558,4.021094,-1.331958e-04
9e7,94868329,4.020444,4.020959,-1.280095e-04
