START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4e0,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,4,0.000000,4,7.49306872,4,0.000000,4,9.10197203
5e0,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,5,1.114773,5,7.41741394,5,0.000000,5,9.39655656
6e0,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,6,0.417230,6,10.41038476,6,0.000000,6,14.53327495
7e0,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,7,0.000000,7,7.25644045,7,0.000000,7,9.36742496
8e0,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,8,0.652599,8,4.97667637,8,0.000000,8,8.66095151
9e0,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,9,1.486689,9,10.15404479,9,0.000000,9,13.75988860
1e1,19,0.000000,16,2.765142,15,4.19059194,15,7.37996871,14,2.225232544,4.107286251,19,0.000000,15,11.91996073,19,0.000000,15,15.47240958
2e1,28,1.586227,29,2.855749,21,5.56147012,21,6.66425498,24,2.767779907,3.997528310,29,0.000000,21,11.44840602,29,0.000000,21,14.80566562
3e1,37,1.448748,32,2.734624,30,6.16967660,30,7.34072410,34,3.110719183,4.352083596,37,0.000000,30,11.28690046,39,0.000000,30,15.42436214
4e1,43,0.000000,47,2.783035,45,6.58667241,45,7.28666194,44,2.746579360,4.041666170,47,0.000000,45,10.82537173,49,0.000000,45,15.74729152
5e1,59,1.146642,59,2.764597,57,5.83795127,51,5.80359534,54,3.444943048,3.933508427,59,0.000000,51,9.69289611,59,0.000000,57,14.47691855
6e1,64,1.081019,64,2.715385,60,6.70546296,60,7.24494775,64,3.262667530,4.337919596,67,0.000000,60,10.40996321,69,0.000000,60,15.97422606
7e1,79,0.979081,79,2.745929,75,7.05323920,75,7.23135463,74,3.922844647,4.050292095,76,0.000000,75,9.90063074,79,0.000000,75,18.46238944
8e1,89,1.831623,89,2.743169,81,4.82779584,84,6.50338549,84,3.287354855,3.906248462,86,0.000000,84,9.17143171,89,0.000000,84,14.49000216
9e1,97,0.871999,97,2.738599,90,5.39954322,90,7.23185422,94,3.436758342,4.325614402,97,0.000000,90,9.82192777,99,0.000000,90,17.61061167
1e2,199,1.132084,128,2.702466,105,8.33051805,105,8.66686583,141,3.583407678,4.077556880,191,0.000000,105,11.14066060,199,0.000000,105,18.54148125
2e2,223,1.053604,256,2.693275,210,8.16901684,210,8.62979456,245,3.602339461,4.062701584,227,0.000000,210,10.52644246,299,0.000000,210,16.24734428
3e2,379,1.492247,397,2.696054,315,8.43110623,315,8.61115415,346,3.754888850,4.097371583,311,0.299359,315,10.28734917,398,0.000000,315,15.28925326
4e2,433,1.364958,499,2.692035,420,7.99188162,420,8.60223889,447,3.819910372,4.057436701,401,0.466686,420,10.12971434,499,0.000000,420,14.72807760
5e2,569,1.983900,512,2.686429,570,7.91213209,525,8.59706998,547,3.788292731,4.051342369,521,0.624953,525,9.97478987,599,0.000000,525,14.38777479
6e2,661,1.788981,691,2.687864,660,7.91893649,630,8.59207809,648,3.849521727,4.082262378,632,0.733417,630,9.81482307,698,0.000000,630,14.14637159
7e2,706,1.706515,797,2.686508,735,8.54549570,735,8.58719170,748,3.944286458,4.065213680,787,0.776549,735,9.66469263,799,0.000000,735,13.98436529
8e2,802,1.784236,887,2.685154,840,8.20414590,840,8.58407866,848,3.919971186,4.040903293,821,0.796043,840,9.61106671,899,0.000000,840,13.86407136
9e2,967,1.761041,997,2.684190,975,7.58665247,945,8.58200080,948,3.790608339,4.079202661,907,0.831295,945,9.51576061,998,0.000000,945,13.78397860
1e3,1402,1.647631,1999,2.678405,1155,9.13559580,1155,9.53007910,1414,3.930334115,4.057115918,1031,0.853691,1155,10.34976630,1999,0.000000,1155,14.63938296
2e3,2029,1.715762,2999,2.675863,2730,9.53914578,2310,9.51595498,2449,3.938191714,4.050820491,2426,0.827222,2310,10.04953571,2053,0.000000,2310,15.86372521
3e3,3076,1.845344,3989,2.674342,3465,9.20509845,3465,9.50870704,3464,3.947788842,4.053739534,3076,1.074180,3465,9.92561611,3001,0.452595,3465,14.45787165
4e3,4801,1.856187,4999,2.673183,4620,9.43200294,4620,9.50395507,4472,3.975565492,4.048584293,4001,1.311835,4620,9.85504017,4001,0.725838,4095,13.80783951
5e3,5416,1.965120,5987,2.672347,5775,9.30254452,5775,9.50061339,5477,3.956637527,4.045493705,5077,1.497108,5775,9.80885567,5003,0.901629,5775,13.15504083
