START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,4,0.000000,4,3.843624,4,0.000000,4,3.843624
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,5,0.680494,5,5.180581,5,0.000000,5,5.180581
6,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,6,0.701240,6,6.420804,6,0.000000,6,6.420804
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,7,0.000000,7,7.472432,7,0.000000,7,7.573133
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,8,0.000000,8,6.538781,8,0.000000,8,8.390096
9,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,9,1.662128,9,9.655592,9,0.000000,9,9.655592
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,10,0.053745,10,8.285706,10,0.000000,10,9.136639
11,11,0.000000,11,3.097468,11,0.00000000,11,3.09746822,11,0.000000000,3.097468223,11,0.000000,11,7.324708,11,0.000000,11,9.716932
12,12,4.116507,12,5.565937,12,4.11650737,12,5.56593708,12,4.116507372,5.565937077,12,1.559355,12,9.572519,12,0.000000,12,12.133916
13,13,2.192988,13,3.090238,13,2.19298840,13,3.09023772,13,2.192988402,3.090237720,13,0.000000,13,7.359275,13,0.000000,13,10.086149
14,14,1.989892,14,3.390541,14,1.98989245,14,3.39054128,14,1.989892454,3.390541276,14,0.000000,14,7.533093,14,0.000000,14,10.050010
(5#)/2,19,0.000000,16,2.765142,21,5.56147012,15,7.37996871,21,2.633998469,4.111117136,29,0.000000,15,12.389644,29,0.000000,27,14.451489
(5#),43,0.000000,32,2.734624,30,6.16967660,30,7.34072410,36,2.876781504,4.147299354,44,0.000000,30,12.866123,44,0.000000,30,14.831433
(5#)3/2,59,1.146642,59,2.764597,45,6.58667241,45,7.28666194,52,3.324712891,4.063345559,59,0.000000,45,13.464246,59,0.000000,45,16.217074
(5#)2,64,1.081019,64,2.715385,60,6.70546296,60,7.24494775,67,3.469062524,4.100988152,74,0.000000,60,13.194937,74,0.000000,60,15.873865
(5#)5/2,79,0.979081,89,2.743169,75,7.05323920,75,7.23135463,82,3.512848830,4.098184256,89,0.000000,75,12.768142,89,0.000000,75,15.231138
(5#)3,97,0.871999,103,2.732657,90,5.39954322,90,7.23185422,97,3.245242470,4.068574446,104,0.000000,90,12.341054,104,0.000000,90,14.585460
(7#)/2,113,1.596300,113,2.731305,105,8.33051805,105,8.66686583,112,3.577187866,4.152494717,118,0.000000,105,13.708074,119,0.000000,105,17.179619
(5#)4,128,2.207081,128,2.702466,120,6.87602316,120,7.20928755,127,3.760341543,4.081898088,134,0.000000,120,11.788280,134,0.000000,120,13.757781
(5#)9/2,146,1.360895,149,2.720304,135,6.46434286,135,7.20410054,142,3.435239530,4.060930991,149,0.000000,135,11.608824,149,0.000000,135,13.486345
(5#)5,157,1.311058,163,2.715599,150,5.35604609,150,7.20511157,157,3.400775835,4.039212573,164,0.000000,150,11.413909,164,0.000000,150,13.190383
(5#)11/2,178,1.810172,179,2.712819,165,7.63044269,165,8.00082618,172,3.595328737,4.116963984,179,0.000000,165,12.091612,179,0.000000,165,13.546214
(5#)6,181,1.801625,193,2.712054,189,7.01512641,180,7.19355883,187,3.875746134,4.055034199,194,0.000000,180,11.126891,194,0.000000,180,12.758691
(5#)13/2,199,1.132084,199,2.709905,195,7.45275910,195,7.84428932,202,3.549983744,4.104891966,206,0.000000,195,11.679591,209,0.000000,195,13.226522
(7#),223,1.053604,223,2.707019,210,8.16901684,210,8.62979456,217,3.643743815,4.099784471,223,0.000000,210,12.552967,224,0.000000,210,15.758844
(5#)15/2,236,1.517972,239,2.705377,225,6.28588791,225,7.18883418,232,3.386986389,4.092730736,229,0.000000,225,10.829504,239,0.000000,225,12.305228
(5#)8,241,1.504150,251,2.704265,252,6.79435245,240,7.18404410,247,3.644142910,4.054908912,245,0.000000,240,10.731593,254,0.000000,240,12.158178
(5#)17/2,262,2.366905,256,2.693275,255,7.25329173,255,7.66085308,262,3.641143212,4.051945883,256,0.091472,255,11.144274,269,0.000000,255,12.534554
