START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,Cpred,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
4,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,0.000000,0.000000,4,0.000000,4,6.713761,4,0.000000
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,1.675803,1.675803,5,1.675803,5,6.856384,5,0.000000
6,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,2.203405,2.203405,6,2.203405,6,8.624209,6,0.000000
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,0.868659,0.868659,7,0.868659,7,5.917414,7,0.000000
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,0.652599,0.652599,8,0.652599,8,4.976676,8,0.000000
9,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,3.406469,3.406469,9,3.406469,9,8.234265,9,0.453499
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,1.734613,1.734613,10,1.734613,10,5.976131,10,0.000000
11,11,0.000000,11,3.097468,11,0.00000000,11,3.09746822,11,0.000000000,3.097468223,0.797508,0.797508,11,0.797508,11,5.397429,11,0.000000
12,12,4.116507,12,5.565937,12,4.11650737,12,5.56593708,12,4.116507372,5.565937077,3.507683,3.507683,12,3.507683,12,7.624191,12,1.164787
13,13,2.192988,13,3.090238,13,2.19298840,13,3.09023772,13,2.192988402,3.090237720,0.897249,0.897249,13,0.897249,13,5.283226,13,0.000000
14,14,1.989892,14,3.390541,14,1.98989245,14,3.39054128,14,1.989892454,3.390541276,1.400649,1.400649,14,1.400649,14,5.380434,14,0.000000
5PR/2,19,0.000000,16,2.765142,21,5.56147012,15,7.37996871,21,2.633998469,4.111117136,0.000000,0.000000,29,0.000000,27,10.530571,29,0.000000
5PR,43,0.000000,32,2.734624,30,6.16967660,30,7.34072410,36,2.876781504,4.147299354,0.000000,0.000000,44,0.000000,33,10.672893,44,0.000000
5PR3/2,59,1.146642,59,2.764597,45,6.58667241,45,7.28666194,52,3.324712891,4.063345559,0.000000,0.000000,59,0.000000,51,10.936555,59,0.000000
5PR2,64,1.081019,64,2.715385,60,6.70546296,60,7.24494775,67,3.469062524,4.100988152,0.000000,0.000000,74,0.000000,60,12.832834,74,0.000000
5PR5/2,79,0.979081,89,2.743169,75,7.05323920,75,7.23135463,82,3.512848830,4.098184256,0.000000,0.000000,89,0.000000,75,12.269383,89,0.000000
5PR3,97,0.871999,103,2.732657,90,5.39954322,90,7.23185422,97,3.245242470,4.068574446,0.000000,0.000000,104,0.000000,90,11.731474,104,0.000000
7PR/2,113,1.596300,113,2.731305,105,8.33051805,105,8.66686583,112,3.577187866,4.152494717,0.000000,0.000000,118,0.000000,117,9.614802,119,0.000000
5PR4,128,2.207081,128,2.702466,120,6.87602316,120,7.20928755,127,3.760341543,4.081898088,0.000000,0.000000,134,0.000000,120,11.029300,134,0.000000
5PR9/2,146,1.360895,149,2.720304,135,6.46434286,135,7.20410054,142,3.435239530,4.060930991,0.000000,0.000000,149,0.000000,135,12.119652,149,0.000000
5PR5,157,1.311058,163,2.715599,150,5.35604609,150,7.20511157,157,3.400775835,4.039212573,0.000000,0.000000,164,0.000000,150,11.919631,164,0.000000
5PR11/2,178,1.810172,179,2.712819,165,7.63044269,165,8.00082618,172,3.595328737,4.116963984,0.000000,0.000000,179,0.000000,165,11.180177,179,0.000000
5PR6,181,1.801625,193,2.712054,189,7.01512641,180,7.19355883,187,3.875746134,4.055034199,0.000000,0.000000,194,0.000000,180,11.672933,194,0.000000
5PR13/2,199,1.132084,199,2.709905,195,7.45275910,195,7.84428932,202,3.549983744,4.104891966,0.000000,0.000000,209,0.000000,195,11.998128,209,0.000000
7PR,223,1.053604,223,2.707019,210,8.16901684,210,8.62979456,217,3.643743815,4.099784471,0.000000,0.000000,223,0.000000,210,14.828137,224,0.000000
5PR15/2,236,1.517972,239,2.705377,225,6.28588791,225,7.18883418,232,3.386986389,4.092730736,0.000000,0.000000,239,0.000000,225,11.227324,239,0.000000
